COMMENT: reward function gives -1 when staying at same distance or leaving goal, else it gives -0.5. This was wrongly implemented by me but see the result at bottom. average reward -100 -> agent is doing nothing all the time. Interesting!
HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 0.01
##################################################
EP	reward	steps	info
87	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0719.
88	-289.0	124	ACTUATOR: l3 = 0.0740 @step 124
89	-145.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0478.
90	-315.0	149	ACTUATOR: l2 = 0.1260 @step 149
91	-147.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0791.
92	-267.5	100	ACTUATOR: l1 = 0.0740 @step 100
93	-248.0	68	ACTUATOR: l1 = 0.0740 @step 68
94	-152.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0599.
95	-143.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0398.
96	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0498.
97	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0645.
98	-154.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1145.
99	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0693.
100	-296.5	137	ACTUATOR: l3 = 0.0740 @step 137
101	-153.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1345.
102	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1286.
103	-278.5	106	ACTUATOR: l3 = 0.0740 @step 106
104	-145.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0622.
105	-293.5	127	ACTUATOR: l3 = 0.0740 @step 127
106	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0390.
107	-151.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1093.
108	-254.0	74	ACTUATOR: l1 = 0.1260 @step 74
109	-340.0	185	ACTUATOR: l3 = 0.0740 @step 185
110	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0963.
111	-296.5	134	ACTUATOR: l3 = 0.0740 @step 134
112	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0977.
113	-157.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1459.
114	-323.5	161	ACTUATOR: l2 = 0.1260 @step 161
115	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1115.
116	-150.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0702.
117	-316.5	156	ACTUATOR: l1 = 0.1260 @step 156
118	-307.0	143	ACTUATOR: l1 = 0.1260 @step 143
119	-280.0	116	ACTUATOR: l1 = 0.1260 @step 116
120	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0962.
121	-143.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0310.
122	-147.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1124.
123	-153.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0751.
124	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1139.
125	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0657.
126	-294.5	118	ACTUATOR: l1 = 0.1260 @step 118
127	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1172.
128	-150.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1410.
129	-294.5	126	ACTUATOR: l3 = 0.0740 @step 126
130	-143.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0382.
131	-147.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0626.
132	-145.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0711.
133	-142.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0661.
134	-321.0	158	ACTUATOR: l3 = 0.0740 @step 158
135	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0619.
136	-144.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0245.
137	-142.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0463.
138	-154.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0830.
139	-286.0	121	ACTUATOR: l1 = 0.1260 @step 121
140	-154.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1015.
141	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0701.
142	-319.0	157	ACTUATOR: l3 = 0.0740 @step 157
143	-271.5	100	ACTUATOR: l1 = 0.1260 @step 100
144	-147.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0446.
145	-146.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0701.
146	-151.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0840.
147	-151.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0696.
148	-145.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0268.
149	-151.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1030.
150	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0890.
