COMMENT: reward function gives -1 when staying at same distance or leaving goal, else it gives -0.5. This was wrongly implemented by me but see the result at bottom. average reward -100 -> agent is doing nothing all the time. Interesting!
HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 0.01
##################################################
EP	reward	steps	info
914	-277.0	121	ACTUATOR: l1 = 0.0740 @step 121
915	-321.0	167	ACTUATOR: l2 = 0.0740 @step 167
916	-133.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0501.
917	-133.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0378.
918	-306.0	153	ACTUATOR: l2 = 0.0740 @step 153
919	-134.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0520.
920	-322.5	187	ACTUATOR: l2 = 0.0740 @step 187
921	-144.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0576.
922	-133.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0247.
923	-133.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0152.
924	-138.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0713.
925	-136.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0222.
926	-287.0	132	ACTUATOR: l1 = 0.0740 @step 132
927	-136.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0842.
928	-317.5	169	ACTUATOR: l1 = 0.0740 @step 169
929	-138.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0661.
930	-138.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0501.
931	-315.5	161	ACTUATOR: l1 = 0.0740 @step 161
932	-135.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0446.
933	-137.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0520.
934	-140.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0642.
935	-139.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1019.
936	-139.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0852.
937	-283.5	125	ACTUATOR: l1 = 0.0740 @step 125
938	-338.0	194	ACTUATOR: l1 = 0.0740 @step 194
939	-278.0	125	ACTUATOR: l1 = 0.0740 @step 125
940	-142.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0304.
941	-139.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0376.
942	-310.5	153	ACTUATOR: l2 = 0.0740 @step 153
943	-278.0	108	ACTUATOR: l2 = 0.0740 @step 108
944	-311.5	173	ACTUATOR: l2 = 0.0740 @step 173
945	-309.5	158	ACTUATOR: l1 = 0.0740 @step 158
946	-280.0	116	ACTUATOR: l2 = 0.0740 @step 116
947	112.5	136	GOAL!!! DISPLACEMENT 0.0047m @step 136
948	-315.0	172	ACTUATOR: l2 = 0.0740 @step 172
949	-268.5	102	ACTUATOR: l2 = 0.0740 @step 102
950	-327.0	192	ACTUATOR: l2 = 0.0740 @step 192
951	-332.0	182	ACTUATOR: l2 = 0.0740 @step 182
952	-135.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0674.
953	-133.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1075.
954	115.5	133	GOAL!!! DISPLACEMENT 0.0040m @step 133
955	-331.0	196	ACTUATOR: l2 = 0.0740 @step 196
956	-128.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0297.
957	-292.5	143	ACTUATOR: l2 = 0.0740 @step 143
958	-140.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0790.
959	-132.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0619.
960	-133.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0444.
961	-135.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0560.
962	-127.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0374.
963	-128.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0429.
964	-123.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0223.
965	-127.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0837.
966	-136.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0427.
967	-136.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0374.
968	-134.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0277.
969	-130.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0666.
970	-134.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0415.
971	-129.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0868.
972	-129.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0563.
973	-131.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0302.
974	-138.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0570.
975	-131.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1275.
976	-130.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0448.
977	-131.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0361.
978	-128.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0646.
979	-132.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0780.
980	-125.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0454.
981	-132.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0797.
982	-122.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1005.
983	-131.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0553.
984	-127.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0820.
985	-128.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0615.
986	-123.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0756.
987	-121.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0519.
988	-124.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1016.
989	-122.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0368.
990	-120.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0375.
991	-121.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1157.
992	-116.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0260.
993	-112.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0160.
994	-115.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0751.
995	-119.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0786.
996	-118.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0845.
997	-123.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0910.
998	-115.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0928.
999	-116.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0392.
1000	-115.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0973.
1001	-115.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0347.
1002	-114.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1009.
1003	-116.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0761.
1004	-114.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0186.
1005	-116.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0233.
1006	-113.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0716.
1007	-114.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0313.
1008	-115.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0529.
1009	-118.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0476.
1010	-111.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0190.
1011	-111.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0580.
1012	-113.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0463.
1013	-113.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1344.
1014	-116.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0586.
1015	-108.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0522.
1016	-109.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0230.
1017	-111.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0608.
1018	-111.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0218.
1019	-113.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0334.
1020	-113.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0356.
1021	-106.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0710.
1022	-112.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0471.
1023	-109.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0756.
1024	-114.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1182.
1025	-119.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1099.
1026	-117.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0869.
1027	-113.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0417.
1028	-112.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0929.
1029	-111.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1020.
1030	-110.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0271.
1031	-115.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0608.
1032	-110.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0779.
1033	-112.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0968.
1034	-110.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0627.
1035	-110.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0260.
1036	-108.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0846.
1037	-110.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0536.
1038	-108.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1076.
1039	-105.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1030.
1040	-109.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0886.
1041	-110.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0703.
1042	-116.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1194.
1043	-107.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0704.
1044	-105.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0897.
1045	-103.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0776.
1046	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0756.
1047	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0788.
1048	-104.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0446.
1049	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0808.
1050	-103.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0295.
1051	-103.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0690.
1052	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1031.
1053	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1015.
1054	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0355.
1055	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0935.
1056	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0656.
1057	-103.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1136.
1058	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0882.
1059	-103.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0656.
1060	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0575.
1061	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0834.
1062	-103.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1074.
1063	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0763.
1064	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1031.
1065	-106.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0589.
1066	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0963.
1067	-104.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0336.
1068	-103.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0500.
1069	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0910.
1070	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1158.
1071	-103.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0734.
1072	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0198.
1073	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0870.
1074	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1046.
1075	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0513.
1076	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0471.
1077	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0672.
1078	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1034.
1079	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0951.
1080	-103.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0560.
1081	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0332.
1082	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0848.
1083	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0563.
1084	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0688.
1085	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0437.
1086	-103.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0482.
1087	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0533.
1088	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0593.
1089	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0784.
1090	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0598.
1091	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0956.
1092	-103.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0654.
1093	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1125.
1094	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0578.
1095	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0916.
1096	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0521.
1097	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0775.
1098	-103.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0843.
1099	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0381.
1100	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0495.
1101	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1019.
1102	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0555.
1103	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0952.
1104	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0764.
1105	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0792.
1106	-105.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0378.
1107	-103.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0800.
1108	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1013.
1109	-103.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0772.
1110	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0991.
1111	-104.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0649.
1112	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0501.
1113	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0546.
1114	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1094.
1115	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0827.
1116	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0347.
1117	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0618.
1118	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0648.
1119	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0662.
1120	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1010.
1121	-103.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0459.
1122	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1150.
1123	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0952.
1124	-102.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0756.
1125	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0409.
1126	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0989.
1127	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0207.
1128	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0380.
1129	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0535.
1130	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0575.
1131	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1068.
1132	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0282.
1133	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0517.
1134	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0557.
1135	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0282.
1136	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0514.
1137	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0359.
1138	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0597.
1139	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0697.
1140	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0429.
1141	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1017.
1142	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0902.
1143	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0538.
1144	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0389.
1145	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0483.
1146	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0865.
1147	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0808.
1148	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0987.
1149	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0370.
1150	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0515.
1151	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0515.
1152	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0140.
1153	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0395.
1154	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0947.
1155	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1086.
1156	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0521.
1157	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0516.
1158	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1080.
1159	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0393.
1160	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0743.
1161	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0670.
1162	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0688.
1163	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0588.
1164	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0693.
1165	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0741.
1166	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0888.
1167	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0816.
1168	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0995.
1169	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0842.
1170	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0940.
1171	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0653.
1172	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0457.
1173	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0952.
1174	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0711.
1175	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0746.
1176	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0729.
1177	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0703.
1178	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0868.
1179	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0774.
1180	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0663.
1181	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1072.
1182	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1046.
1183	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0387.
1184	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0259.
1185	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0829.
1186	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0611.
1187	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0897.
1188	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0505.
1189	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0906.
1190	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0642.
1191	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0836.
1192	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0729.
1193	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1193.
1194	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1069.
1195	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1028.
1196	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0568.
1197	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0644.
1198	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0255.
1199	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0949.
1200	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0390.
1201	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0739.
1202	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0953.
1203	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1049.
1204	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1040.
1205	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0930.
1206	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0410.
1207	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0953.
1208	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1150.
1209	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0905.
1210	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0894.
1211	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0622.
1212	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0350.
1213	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0315.
1214	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0977.
1215	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0604.
1216	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0526.
1217	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0809.
1218	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0993.
1219	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0187.
1220	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0863.
1221	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0605.
1222	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0600.
1223	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0338.
1224	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0683.
1225	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0881.
1226	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0274.
1227	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0641.
1228	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0861.
1229	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0482.
1230	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0374.
1231	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0930.
1232	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0302.
1233	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0178.
1234	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0439.
1235	-102.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0465.
1236	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0396.
1237	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0459.
1238	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0759.
1239	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0508.
1240	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1034.
1241	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0191.
1242	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1063.
1243	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0684.
1244	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0554.
1245	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0529.
1246	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0282.
1247	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0785.
1248	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0781.
1249	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0548.
1250	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0383.
1251	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0876.
1252	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0251.
1253	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0169.
1254	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0791.
1255	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0698.
1256	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0820.
1257	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0645.
1258	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0241.
1259	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0415.
1260	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0330.
1261	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0805.
1262	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0547.
1263	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0892.
1264	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1130.
1265	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0254.
1266	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0988.
1267	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0492.
1268	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0593.
1269	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0709.
1270	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0485.
1271	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0708.
1272	-101.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0304.
1273	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0795.
1274	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0843.
1275	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0764.
1276	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0807.
1277	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0317.
1278	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0945.
1279	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1126.
1280	-100.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0969.
1281	-101.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0999.
1282	-100.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0855.
