HYPERPARAMS
version: 7	h1_size: 512	h2_size: 512	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
0	-266.2	500	0.0716	0.0249	0.0468	False
1	-779.9	500	0.0563	0.1123	-0.0560	False
2	-527.4	500	0.0657	0.0712	-0.0055	False
3	-602.8	500	0.0756	0.0961	-0.0206	False
4	-569.8	500	0.0757	0.0897	-0.0140	False
5	-456.1	500	0.0579	0.0491	0.0088	False
6	-557.4	500	0.0709	0.0824	-0.0115	False
7	-369.4	500	0.0903	0.0642	0.0261	False
8	-90.6	500	0.1051	0.0232	0.0819	False
9	-625.2	500	0.0412	0.0663	-0.0250	False
10	-474.1	500	0.0457	0.0406	0.0052	False
11	-392.8	500	0.0655	0.0440	0.0214	False
12	-429.5	500	0.0919	0.0778	0.0141	False
13	-417.7	500	0.0963	0.0798	0.0165	False
14	-453.3	500	0.0513	0.0420	0.0093	False
15	-449.3	500	0.0752	0.0651	0.0101	False
16	-465.8	500	0.0602	0.0534	0.0068	False
17	-462.2	500	0.0539	0.0464	0.0076	False
18	-496.3	500	0.0456	0.0448	0.0007	False
19	-424.1	500	0.0391	0.0239	0.0152	False
20	-432.5	500	0.0864	0.0730	0.0135	False
21	-405.8	500	0.0927	0.0739	0.0188	False
22	-455.5	500	0.0804	0.0715	0.0089	False
23	-415.6	500	0.1064	0.0895	0.0169	False
24	-432.2	500	0.0885	0.0749	0.0136	False
25	-442.4	500	0.0828	0.0713	0.0115	False
26	-472.9	500	0.0602	0.0548	0.0054	False
27	-466.6	500	0.0747	0.0680	0.0067	False
28	-467.5	500	0.0714	0.0649	0.0065	False
29	-454.8	500	0.0630	0.0540	0.0090	False
30	-487.4	500	0.0536	0.0511	0.0025	False
31	-494.1	500	0.0524	0.0512	0.0012	False
32	-521.0	500	0.0456	0.0498	-0.0042	False
33	-462.2	500	0.0410	0.0335	0.0076	False
34	-411.0	500	0.1111	0.0933	0.0178	False
35	-512.7	500	0.0552	0.0577	-0.0025	False
36	-433.1	500	0.0948	0.0814	0.0134	False
37	-450.7	500	0.0736	0.0638	0.0099	False
38	-537.7	500	0.0456	0.0531	-0.0075	False
39	-469.8	500	0.0467	0.0407	0.0060	False
40	-491.4	500	0.0197	0.0180	0.0017	False
41	-600.0	500	0.0286	0.0486	-0.0200	False
42	-465.9	500	0.0377	0.0309	0.0068	False
43	-485.9	500	0.0472	0.0444	0.0028	False
44	-430.1	500	0.0866	0.0726	0.0140	False
45	-413.6	500	0.1082	0.0909	0.0173	False
46	-486.0	500	0.0359	0.0331	0.0028	False
47	-421.6	500	0.0959	0.0803	0.0157	False
48	-227.0	500	0.0746	0.0200	0.0546	False
49	-453.3	500	0.0861	0.0767	0.0093	False
50	-407.3	500	0.0865	0.0679	0.0185	False
51	-454.8	500	0.0854	0.0763	0.0090	False
52	-421.0	500	0.1095	0.0937	0.0158	False
53	-420.0	500	0.1008	0.0848	0.0160	False
54	-423.8	500	0.0879	0.0726	0.0152	False
55	-469.9	500	0.0479	0.0419	0.0060	False
56	-417.2	500	0.1091	0.0926	0.0166	False
57	-482.0	500	0.0559	0.0523	0.0036	False
58	-443.2	500	0.0844	0.0730	0.0114	False
59	-508.0	500	0.0319	0.0335	-0.0016	False
60	-426.1	500	0.0860	0.0712	0.0148	False
61	-533.5	500	0.0382	0.0449	-0.0067	False
62	-474.1	500	0.0542	0.0490	0.0052	False
63	-507.4	500	0.0346	0.0360	-0.0015	False
64	-458.5	500	0.0620	0.0537	0.0083	False
65	-472.7	500	0.0534	0.0479	0.0055	False
66	-292.4	500	0.0733	0.0318	0.0415	False
67	-407.8	500	0.1074	0.0889	0.0184	False
68	-405.1	500	0.0552	0.0363	0.0190	False
69	-224.1	500	0.0824	0.0273	0.0552	False
70	-469.3	500	0.0757	0.0696	0.0061	False
71	-470.0	500	0.0643	0.0583	0.0060	False
72	-448.9	500	0.0738	0.0636	0.0102	False
73	-413.9	500	0.1054	0.0882	0.0172	False
74	-467.3	500	0.0517	0.0451	0.0065	False
75	-492.8	500	0.0623	0.0609	0.0014	False
76	-445.0	500	0.0830	0.0720	0.0110	False
77	-486.1	500	0.0612	0.0584	0.0028	False
78	-483.2	500	0.0601	0.0567	0.0034	False
79	-414.2	500	0.1098	0.0926	0.0172	False
80	-454.6	500	0.0687	0.0596	0.0091	False
81	-215.7	500	0.1073	0.0505	0.0569	False
82	-501.4	500	0.0571	0.0574	-0.0003	False
83	-422.0	500	0.1075	0.0919	0.0156	False
84	-420.4	500	0.1007	0.0847	0.0159	False
85	-514.2	500	0.0397	0.0425	-0.0028	False
86	-460.6	500	0.0706	0.0627	0.0079	False
87	-522.6	500	0.0344	0.0389	-0.0045	False
88	-488.6	500	0.0719	0.0696	0.0023	False
89	-220.1	500	0.0910	0.0351	0.0560	False
90	-221.3	500	0.0863	0.0306	0.0557	False
91	-459.0	500	0.0784	0.0702	0.0082	False
92	-431.7	500	0.0989	0.0853	0.0137	False
93	-443.8	500	0.0867	0.0754	0.0112	False
94	-468.7	500	0.0592	0.0529	0.0063	False
95	-429.2	500	0.0958	0.0816	0.0142	False
96	-455.1	500	0.0601	0.0511	0.0090	False
97	-472.6	500	0.0578	0.0524	0.0055	False
98	-108.2	500	0.0996	0.0212	0.0784	False
99	-444.9	500	0.0814	0.0704	0.0110	False
100	-445.1	500	0.0902	0.0792	0.0110	False
101	-492.1	500	0.0585	0.0569	0.0016	False
102	-442.9	500	0.0847	0.0733	0.0114	False
103	-348.7	500	0.0974	0.0671	0.0303	False
104	-536.9	500	0.0471	0.0545	-0.0074	False
105	-429.2	500	0.0977	0.0835	0.0142	False
106	-498.2	500	0.0280	0.0277	0.0004	False
107	-210.2	500	0.1191	0.0611	0.0580	False
108	-409.1	500	0.1088	0.0906	0.0182	False
109	-475.3	500	0.0778	0.0729	0.0049	False
110	-572.1	500	0.0077	0.0221	-0.0144	False
111	-449.5	500	0.0425	0.0324	0.0101	False
112	-97.2	500	0.1003	0.0197	0.0806	False
113	-300.5	500	0.0935	0.0536	0.0399	False
114	-373.5	500	0.0433	0.0180	0.0253	False
115	-437.1	500	0.0932	0.0806	0.0126	False
116	-450.6	500	0.0855	0.0756	0.0099	False
117	-364.5	500	0.0873	0.0602	0.0271	False
118	-522.5	500	0.0380	0.0425	-0.0045	False
119	-253.7	500	0.0789	0.0296	0.0493	False
120	-455.6	500	0.0758	0.0669	0.0089	False
121	-451.2	500	0.0725	0.0627	0.0098	False
122	-502.4	500	0.0239	0.0244	-0.0005	False
123	-438.8	500	0.0675	0.0553	0.0122	False
124	-416.4	500	0.0998	0.0831	0.0167	False
125	-309.0	500	0.0877	0.0495	0.0382	False
126	-446.3	500	0.0753	0.0645	0.0107	False
127	-451.8	500	0.0346	0.0249	0.0096	False
128	-446.9	500	0.0847	0.0741	0.0106	False
129	-406.3	500	0.0862	0.0675	0.0187	False
130	-181.2	500	0.0978	0.0340	0.0638	False
131	-543.8	500	0.0426	0.0513	-0.0088	False
132	-500.8	500	0.0537	0.0539	-0.0002	False
133	-479.4	500	0.0398	0.0357	0.0041	False
134	-533.2	500	0.0128	0.0195	-0.0066	False
135	-211.8	500	0.0908	0.0332	0.0576	False
136	-437.6	500	0.0693	0.0568	0.0125	False
137	-142.2	500	0.1113	0.0398	0.0716	False
138	-404.5	500	0.0730	0.0539	0.0191	False
139	-432.8	500	0.0837	0.0702	0.0134	False
140	-440.1	500	0.0657	0.0537	0.0120	False
141	-467.9	500	0.0651	0.0586	0.0064	False
142	-373.4	500	0.0787	0.0534	0.0253	False
143	-441.5	500	0.0827	0.0710	0.0117	False
144	-473.6	500	0.0582	0.0529	0.0053	False
145	-280.5	500	0.0991	0.0552	0.0439	False
146	-450.1	500	0.0316	0.0216	0.0100	False
147	-243.2	500	0.0957	0.0444	0.0514	False
148	-393.0	500	0.0777	0.0563	0.0214	False
