HYPERPARAMS
version: 6	h1_size: 100	h2_size: 100	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
0	-509.4	500	0.0789	0.0808	-0.0019	False
1	-487.0	500	0.0257	0.0231	0.0026	False
2	-534.9	500	0.0730	0.0800	-0.0070	False
3	-515.3	500	0.0534	0.0565	-0.0031	False
4	-443.2	500	0.0913	0.0799	0.0114	False
5	-620.0	500	0.0801	0.1041	-0.0240	False
6	-644.2	500	0.0807	0.1096	-0.0288	False
7	-414.8	500	0.1121	0.0951	0.0170	False
8	-481.9	500	0.0675	0.0639	0.0036	False
9	-478.5	500	0.0269	0.0226	0.0043	False
10	-501.0	500	0.0994	0.0996	-0.0002	False
11	-467.5	500	0.0721	0.0656	0.0065	False
12	-278.3	500	0.0926	0.0483	0.0443	False
13	-198.1	500	0.0942	0.0338	0.0604	False
14	-348.1	500	0.0609	0.0305	0.0304	False
15	-408.4	500	0.0466	0.0283	0.0183	False
16	-266.8	500	0.0677	0.0211	0.0466	False
17	-302.7	500	0.0625	0.0230	0.0395	False
18	-341.9	500	0.0544	0.0227	0.0316	False
19	-243.2	500	0.0645	0.0132	0.0514	False
20	-288.9	500	0.1030	0.0608	0.0422	False
21	-542.6	500	0.0397	0.0482	-0.0085	False
22	-182.8	500	0.0956	0.0322	0.0634	False
23	-490.1	500	0.0335	0.0315	0.0020	False
24	-78.5	500	0.0919	0.0076	0.0843	False
25	-579.5	500	0.0122	0.0281	-0.0159	False
26	-334.7	500	0.0695	0.0364	0.0331	False
27	-192.0	500	0.0978	0.0362	0.0616	False
28	-354.6	500	0.0768	0.0477	0.0291	False
29	-374.4	500	0.0784	0.0533	0.0251	False
30	-197.7	500	0.0740	0.0135	0.0605	False
31	-272.8	500	0.0833	0.0378	0.0454	False
32	-506.6	500	0.0399	0.0412	-0.0013	False
33	-313.1	500	0.0959	0.0585	0.0374	False
34	-432.4	500	0.0421	0.0286	0.0135	False
35	-340.2	500	0.0492	0.0172	0.0320	False
36	-411.8	500	0.0438	0.0262	0.0176	False
37	-488.1	500	0.0369	0.0345	0.0024	False
38	-39.8	500	0.1021	0.0101	0.0920	False
39	-319.9	500	0.0655	0.0295	0.0360	False
40	-517.8	500	0.0335	0.0371	-0.0036	False
41	-541.1	500	0.0217	0.0299	-0.0082	False
42	-279.5	500	0.0843	0.0402	0.0441	False
43	-548.2	500	0.0157	0.0254	-0.0096	False
44	-437.6	500	0.0586	0.0461	0.0125	False
45	-208.8	500	0.1123	0.0540	0.0582	False
46	-155.4	500	0.1026	0.0337	0.0689	False
47	-316.8	500	0.0905	0.0539	0.0366	False
48	-139.2	500	0.1116	0.0395	0.0722	False
49	-190.4	500	0.0825	0.0206	0.0619	False
50	-195.5	500	0.0842	0.0233	0.0609	False
51	-412.4	500	0.1108	0.0933	0.0175	False
52	-527.5	500	0.0430	0.0485	-0.0055	False
53	-397.8	500	0.1066	0.0862	0.0204	False
54	-490.9	500	0.0492	0.0474	0.0018	False
55	-175.5	500	0.0863	0.0214	0.0649	False
56	-323.9	500	0.0848	0.0495	0.0352	False
57	-354.0	500	0.1022	0.0730	0.0292	False
58	-415.1	500	0.0790	0.0620	0.0170	False
