HYPERPARAMS
version: 11	h1_size: 512	h2_size: None	npop: 50	sigma: 0.05	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	E[r]	steps	start_d	end_d	covered	info
0	-574.8	0.0	500	0.0821	0.0971	-0.0150	0
1	-671.1	-574.8	500	0.0707	0.1049	-0.0342	0
2	-516.8	-623.0	500	0.1169	0.1202	-0.0034	0
3	-472.5	-587.6	500	0.0709	0.0654	0.0055	0
4	-344.8	-558.8	500	0.0955	0.0645	0.0310	0
5	-465.9	-516.0	500	0.0533	0.0464	0.0068	0
6	-654.3	-507.6	500	0.0454	0.0762	-0.0309	0
7	-422.8	-528.6	500	0.0737	0.0582	0.0154	0
8	-502.9	-515.4	500	0.0872	0.0878	-0.0006	0
9	-549.1	-514.0	500	0.0272	0.0371	-0.0098	0
10	-567.8	-517.5	500	0.0777	0.0913	-0.0136	0
11	-707.5	-522.1	500	0.0272	0.0687	-0.0415	0
12	-448.9	-537.5	500	0.0439	0.0337	0.0102	0
13	-472.7	-530.7	500	0.0279	0.0225	0.0055	0
14	-386.7	-526.6	500	0.0693	0.0466	0.0227	0
15	-855.6	-517.2	500	0.0207	0.0919	-0.0711	0
16	-330.4	-538.4	500	0.0745	0.0405	0.0339	0
17	-228.0	-526.2	500	0.0813	0.0269	0.0544	0
18	-710.8	-509.6	500	0.0242	0.0664	-0.0422	0
19	-496.2	-520.2	500	0.0575	0.0568	0.0008	0
20	-726.0	-519.0	500	0.0440	0.0893	-0.0452	0
21	-183.9	-528.8	500	0.1058	0.0426	0.0632	0
22	-859.9	-513.2	500	0.0336	0.1056	-0.0720	0
23	-392.0	-528.2	500	0.0891	0.0675	0.0216	0
24	-187.4	-522.6	500	0.1098	0.0472	0.0625	0
25	-627.8	-509.2	500	0.0539	0.0795	-0.0256	0
26	-565.0	-513.7	500	0.0539	0.0669	-0.0130	0
27	-698.9	-515.6	500	0.0204	0.0602	-0.0398	0
28	-501.8	-522.2	500	0.0212	0.0215	-0.0004	0
29	-513.4	-521.5	500	0.0410	0.0437	-0.0027	0
30	-405.9	-521.2	500	0.0995	0.0806	0.0188	0
31	364.9	-517.5	167	0.0592	0.0028	0.0564	1
32	-444.0	-489.9	500	0.0785	0.0673	0.0112	0
33	-451.6	-488.5	500	0.0606	0.0509	0.0097	0
34	-425.2	-487.4	500	0.0955	0.0806	0.0150	0
