HYPERPARAMS
version: 4	h1_size: 100	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
0	-527.2	500	0.0724	0.0778	-0.0054	False
1	-504.5	500	0.1037	0.1045	-0.0009	False
2	-486.5	500	0.0490	0.0462	0.0027	False
3	-423.4	500	0.0902	0.0749	0.0153	False
4	-544.5	500	0.0584	0.0673	-0.0089	False
5	-448.9	500	0.0794	0.0692	0.0102	False
6	-402.0	500	0.0738	0.0542	0.0196	False
7	-533.6	500	0.0501	0.0568	-0.0067	False
8	-434.1	500	0.0487	0.0355	0.0132	False
9	-561.3	500	0.0595	0.0717	-0.0123	False
10	-530.2	500	0.0769	0.0830	-0.0060	False
11	-418.4	500	0.1108	0.0945	0.0163	False
12	-520.0	500	0.0601	0.0641	-0.0040	False
13	-469.2	500	0.0631	0.0570	0.0062	False
14	-547.1	500	0.0520	0.0614	-0.0094	False
15	-516.0	500	0.0385	0.0417	-0.0032	False
16	-491.4	500	0.0755	0.0737	0.0017	False
17	-386.6	500	0.0732	0.0506	0.0227	False
18	-340.2	500	0.0683	0.0364	0.0320	False
19	-433.6	500	0.0458	0.0326	0.0133	False
20	-521.1	500	0.1058	0.1100	-0.0042	False
21	-344.4	500	0.0651	0.0339	0.0311	False
22	-284.3	500	0.1094	0.0663	0.0431	False
23	-357.9	500	0.0554	0.0269	0.0284	False
24	-377.8	500	0.1101	0.0857	0.0244	False
25	-533.9	500	0.0285	0.0352	-0.0068	False
26	-508.3	500	0.0235	0.0252	-0.0017	False
27	-343.0	500	0.0779	0.0465	0.0314	False
28	-410.1	500	0.0547	0.0367	0.0180	False
29	-343.7	500	0.0761	0.0449	0.0313	False
30	-427.9	500	0.0371	0.0226	0.0144	False
31	-298.0	500	0.0993	0.0589	0.0404	False
32	-342.5	500	0.0576	0.0261	0.0315	False
33	-296.0	500	0.0524	0.0116	0.0408	False
34	-233.1	500	0.0893	0.0359	0.0534	False
35	-212.0	500	0.1062	0.0486	0.0576	False
36	-314.0	500	0.1040	0.0668	0.0372	False
37	-234.1	500	0.1043	0.0511	0.0532	False
38	-269.0	500	0.0903	0.0441	0.0462	False
39	-314.3	500	0.0519	0.0148	0.0371	False
40	-528.9	500	0.0272	0.0330	-0.0058	False
41	-433.0	500	0.0345	0.0211	0.0134	False
42	-163.8	500	0.1130	0.0457	0.0672	False
43	-295.0	500	0.0634	0.0224	0.0410	False
44	-205.1	500	0.0770	0.0181	0.0590	False
45	-106.4	500	0.0915	0.0128	0.0787	False
46	-246.5	500	0.1088	0.0581	0.0507	False
47	-509.2	500	0.0277	0.0295	-0.0018	False
48	-443.1	500	0.0306	0.0192	0.0114	False
49	-300.8	500	0.0671	0.0272	0.0398	False
50	-259.3	500	0.0637	0.0156	0.0481	False
51	-348.4	500	0.0538	0.0235	0.0303	False
52	-229.7	500	0.0717	0.0176	0.0541	False
53	-100.2	500	0.1013	0.0213	0.0800	False
54	-580.7	500	0.0194	0.0355	-0.0161	False
55	-169.4	500	0.0774	0.0113	0.0661	False
56	-322.3	500	0.0484	0.0129	0.0355	False
57	-521.9	500	0.0222	0.0266	-0.0044	False
58	-506.0	500	0.0315	0.0327	-0.0012	False
59	-226.0	500	0.0759	0.0211	0.0548	False
60	-130.1	500	0.0919	0.0179	0.0740	False
61	-600.1	500	0.0173	0.0373	-0.0200	False
62	-127.4	500	0.0849	0.0104	0.0745	False
63	-111.3	500	0.0973	0.0195	0.0777	False
64	-383.1	500	0.0330	0.0096	0.0234	False
65	-113.8	500	0.1112	0.0339	0.0772	False
66	-141.8	500	0.0942	0.0225	0.0716	False
67	-357.3	500	0.0422	0.0136	0.0285	False
68	-198.7	500	0.1098	0.0495	0.0603	False
69	-261.1	500	0.0698	0.0220	0.0478	False
70	-214.8	500	0.1166	0.0596	0.0570	False
71	-379.0	500	0.0391	0.0149	0.0242	False
72	-92.5	500	0.0937	0.0122	0.0815	False
73	-279.9	500	0.0524	0.0083	0.0440	False
74	-209.7	500	0.0812	0.0232	0.0581	False
75	-267.6	500	0.0661	0.0196	0.0465	False
76	-485.6	500	0.0295	0.0266	0.0029	False
77	-566.4	500	0.0361	0.0494	-0.0133	False
78	-145.0	500	0.0978	0.0268	0.0710	False
79	-190.6	500	0.0933	0.0315	0.0619	False
80	-472.7	500	0.0218	0.0164	0.0055	False
81	-279.8	500	0.0783	0.0342	0.0440	False
82	-147.9	500	0.1028	0.0324	0.0704	False
83	-213.3	500	0.0760	0.0187	0.0573	False
84	-427.7	500	0.0374	0.0229	0.0145	False
85	-310.3	500	0.0650	0.0271	0.0379	False
86	-118.5	500	0.0890	0.0127	0.0763	False
87	-264.2	500	0.0639	0.0168	0.0472	False
88	-322.8	500	0.0654	0.0299	0.0354	False
89	-391.9	500	0.0428	0.0212	0.0216	False
90	-288.2	500	0.1045	0.0622	0.0424	False
91	-174.9	500	0.0796	0.0146	0.0650	False
92	-220.4	500	0.0744	0.0185	0.0559	False
93	-411.4	500	0.0462	0.0285	0.0177	False
94	-170.7	500	0.1091	0.0432	0.0659	False
95	-198.1	500	0.0796	0.0192	0.0604	False
96	-431.3	500	0.0438	0.0301	0.0137	False
97	-172.1	500	0.0789	0.0133	0.0656	False
98	-361.1	500	0.0542	0.0265	0.0278	False
99	-467.7	500	0.0293	0.0229	0.0065	False
100	-250.6	500	0.1091	0.0593	0.0499	False
101	-303.2	500	0.0592	0.0199	0.0394	False
102	-230.9	500	0.0935	0.0397	0.0538	False
103	-112.1	500	0.0847	0.0071	0.0776	False
104	-298.5	500	0.0869	0.0466	0.0403	False
105	-444.1	500	0.0394	0.0282	0.0112	False
106	-413.1	500	0.0344	0.0171	0.0174	False
107	-185.0	500	0.0776	0.0146	0.0630	False
108	-100.1	500	0.1018	0.0219	0.0800	False
109	-397.1	500	0.0324	0.0118	0.0206	False
110	-205.3	500	0.0736	0.0146	0.0589	False
111	-187.4	500	0.0817	0.0191	0.0625	False
112	-167.9	500	0.1053	0.0389	0.0664	False
113	-388.7	500	0.0386	0.0163	0.0223	False
114	-383.3	500	0.0340	0.0106	0.0233	False
115	-464.6	500	0.0469	0.0398	0.0071	False
116	-131.6	500	0.0872	0.0135	0.0737	False
117	-133.7	500	0.0879	0.0147	0.0733	False
118	-190.1	500	0.0858	0.0238	0.0620	False
119	-365.0	500	0.0417	0.0147	0.0270	False
120	-352.9	500	0.0379	0.0085	0.0294	False
121	-127.9	500	0.1013	0.0269	0.0744	False
122	-149.6	500	0.1024	0.0323	0.0701	False
123	-157.0	500	0.1054	0.0368	0.0686	False
124	-91.7	500	0.0952	0.0135	0.0817	False
125	-614.4	500	0.0272	0.0500	-0.0229	False
126	129.8	314	0.0416	0.0030	0.0386	True
127	-121.0	500	0.0959	0.0201	0.0758	False
128	-105.1	500	0.1013	0.0223	0.0790	False
129	-384.1	500	0.0364	0.0132	0.0232	False
130	-219.9	500	0.0798	0.0238	0.0560	False
131	-312.9	500	0.0725	0.0351	0.0374	False
132	-294.2	500	0.0577	0.0166	0.0412	False
133	-309.0	500	0.0439	0.0058	0.0382	False
134	-136.7	500	0.1095	0.0368	0.0727	False
135	-341.8	500	0.0558	0.0242	0.0316	False
136	-277.2	500	0.0651	0.0205	0.0446	False
137	-425.6	500	0.0668	0.0520	0.0149	False
138	-167.6	500	0.0845	0.0180	0.0665	False
139	-312.5	500	0.0524	0.0149	0.0375	False
140	-257.1	500	0.0545	0.0060	0.0486	False
141	-335.5	500	0.0361	0.0032	0.0329	False
142	-419.1	500	0.0495	0.0333	0.0162	False
143	-445.6	500	0.0382	0.0274	0.0109	False
144	-286.4	500	0.0757	0.0330	0.0427	False
145	-127.2	500	0.0895	0.0149	0.0746	False
146	-446.2	500	0.0204	0.0097	0.0108	False
147	-150.1	500	0.1111	0.0411	0.0700	False
148	-105.7	500	0.0904	0.0116	0.0789	False
149	-193.0	500	0.0997	0.0383	0.0614	False
150	-133.1	500	0.0868	0.0134	0.0734	False
151	-187.3	500	0.0754	0.0128	0.0625	False
152	-244.0	500	0.0644	0.0132	0.0512	False
153	-88.5	500	0.0966	0.0143	0.0823	False
154	-379.8	500	0.0333	0.0093	0.0240	False
155	-186.9	500	0.0854	0.0228	0.0626	False
156	-395.3	500	0.0394	0.0184	0.0209	False
157	-318.8	500	0.0498	0.0136	0.0362	False
158	-10.2	500	0.1072	0.0092	0.0980	False
159	-614.1	500	0.0148	0.0376	-0.0228	False
160	-410.7	500	0.0452	0.0273	0.0179	False
161	-119.3	500	0.1115	0.0354	0.0761	False
162	-0.9	500	0.1089	0.0091	0.0998	False
163	-165.9	500	0.1113	0.0444	0.0668	False
164	-236.8	500	0.0611	0.0085	0.0526	False
165	172.7	358	0.0590	0.0030	0.0560	True
166	-325.0	500	0.0618	0.0268	0.0350	False
167	-302.2	500	0.0699	0.0303	0.0396	False
168	-56.7	500	0.0974	0.0088	0.0887	False
169	-302.9	500	0.0569	0.0175	0.0394	False
170	-43.4	500	0.0987	0.0074	0.0913	False
171	-274.1	500	0.0716	0.0264	0.0452	False
172	-228.4	500	0.0732	0.0189	0.0543	False
173	-133.1	500	0.0959	0.0225	0.0734	False
174	-44.9	500	0.1045	0.0135	0.0910	False
175	-219.7	500	0.0765	0.0205	0.0561	False
176	-203.7	500	0.0900	0.0307	0.0593	False
177	-179.0	500	0.0743	0.0101	0.0642	False
178	-434.9	500	0.0279	0.0149	0.0130	False
179	-85.7	500	0.0976	0.0147	0.0829	False
180	-408.3	500	0.0355	0.0172	0.0183	False
181	-406.6	500	0.0615	0.0428	0.0187	False
182	-327.2	500	0.0733	0.0387	0.0346	False
183	-56.3	500	0.0936	0.0049	0.0887	False
184	-575.7	500	0.0221	0.0372	-0.0151	False
185	-451.1	500	0.0557	0.0459	0.0098	False
186	-352.4	500	0.0808	0.0513	0.0295	False
187	-301.5	500	0.0677	0.0280	0.0397	False
188	-312.6	500	0.0667	0.0292	0.0375	False
189	-278.2	500	0.0679	0.0235	0.0444	False
190	173.6	281	0.0437	0.0030	0.0408	True
191	-191.5	500	0.0987	0.0370	0.0617	False
192	-407.6	500	0.0428	0.0243	0.0185	False
193	-500.2	500	0.0412	0.0413	-0.0000	False
194	-187.9	500	0.0819	0.0195	0.0624	False
195	-297.9	500	0.0567	0.0163	0.0404	False
196	-251.4	500	0.0738	0.0241	0.0497	False
197	-238.1	500	0.0665	0.0141	0.0524	False
198	-399.4	500	0.0420	0.0219	0.0201	False
199	-265.7	500	0.0689	0.0220	0.0469	False
200	-497.7	500	0.0505	0.0501	0.0005	False
201	-77.4	500	0.0891	0.0046	0.0845	False
202	-306.2	500	0.0689	0.0301	0.0388	False
203	190.4	272	0.0453	0.0029	0.0424	True
204	-46.1	500	0.1004	0.0096	0.0908	False
205	-355.3	500	0.1071	0.0782	0.0289	False
206	-298.3	500	0.0718	0.0314	0.0403	False
207	-317.6	500	0.0505	0.0140	0.0365	False
208	-274.2	500	0.0730	0.0278	0.0452	False
209	-100.0	500	0.1118	0.0318	0.0800	False
210	-297.4	500	0.0956	0.0551	0.0405	False
211	-130.7	500	0.1021	0.0282	0.0739	False
212	-422.8	500	0.0483	0.0328	0.0154	False
213	-235.4	500	0.0969	0.0440	0.0529	False
214	-308.3	500	0.0642	0.0259	0.0383	False
215	-221.9	500	0.1037	0.0481	0.0556	False
216	-521.1	500	0.0183	0.0225	-0.0042	False
217	-267.8	500	0.0547	0.0083	0.0464	False
218	-471.6	500	0.0527	0.0470	0.0057	False
219	-93.1	500	0.0999	0.0186	0.0814	False
220	-18.5	500	0.1057	0.0094	0.0963	False
221	-533.8	500	0.0361	0.0429	-0.0068	False
222	-139.5	500	0.1014	0.0293	0.0721	False
223	-536.7	500	0.0367	0.0441	-0.0073	False
224	-172.8	500	0.0791	0.0137	0.0654	False
225	-13.0	500	0.1068	0.0094	0.0974	False
226	-392.3	500	0.0568	0.0353	0.0215	False
227	-521.7	500	0.0197	0.0241	-0.0043	False
228	-134.6	500	0.1068	0.0338	0.0731	False
229	-522.7	500	0.0236	0.0281	-0.0045	False
230	-296.8	500	0.0804	0.0397	0.0406	False
231	-262.0	500	0.0784	0.0308	0.0476	False
232	-374.4	500	0.0568	0.0317	0.0251	False
233	-147.1	500	0.0893	0.0187	0.0706	False
234	-412.1	500	0.0422	0.0246	0.0176	False
235	-362.8	500	0.0905	0.0631	0.0274	False
236	-121.4	500	0.0961	0.0204	0.0757	False
237	-279.2	500	0.0649	0.0208	0.0442	False
238	-520.6	500	0.0472	0.0513	-0.0041	False
239	-381.5	500	0.0859	0.0622	0.0237	False
240	-559.6	500	0.0352	0.0471	-0.0119	False
241	-75.3	500	0.0915	0.0066	0.0849	False
242	-498.4	500	0.0430	0.0427	0.0003	False
243	-475.0	500	0.0348	0.0298	0.0050	False
244	-384.4	500	0.0662	0.0431	0.0231	False
245	-35.1	500	0.1077	0.0147	0.0930	False
246	-505.9	500	0.0611	0.0623	-0.0012	False
247	-202.9	500	0.0731	0.0137	0.0594	False
248	-187.2	500	0.0906	0.0281	0.0626	False
249	-175.0	500	0.0843	0.0193	0.0650	False
250	-558.1	500	0.0239	0.0356	-0.0116	False
251	-256.1	500	0.0739	0.0251	0.0488	False
252	-451.5	500	0.0634	0.0537	0.0097	False
253	-463.0	500	0.0306	0.0232	0.0074	False
254	-494.7	500	0.0386	0.0375	0.0011	False
255	-524.3	500	0.0293	0.0342	-0.0049	False
256	-354.8	500	0.0777	0.0486	0.0290	False
257	-175.8	500	0.0914	0.0265	0.0648	False
258	-408.5	500	0.0603	0.0419	0.0183	False
259	-235.4	500	0.0785	0.0256	0.0529	False
260	125.7	293	0.0366	0.0029	0.0337	True
261	-299.3	500	0.0691	0.0289	0.0401	False
262	-550.0	500	0.0436	0.0536	-0.0100	False
263	-420.9	500	0.0588	0.0429	0.0158	False
264	-141.1	500	0.0863	0.0146	0.0718	False
265	-301.4	500	0.0653	0.0256	0.0397	False
266	-30.6	500	0.1102	0.0163	0.0939	False
267	-376.4	500	0.0496	0.0248	0.0247	False
268	-28.5	500	0.1076	0.0133	0.0943	False
269	-282.5	500	0.0791	0.0356	0.0435	False
270	-498.6	500	0.0433	0.0430	0.0003	False
271	-276.0	500	0.0651	0.0203	0.0448	False
272	7.4	500	0.1131	0.0117	0.1015	False
273	-107.6	500	0.1025	0.0240	0.0785	False
274	-367.6	500	0.0554	0.0289	0.0265	False
275	-497.2	500	0.0287	0.0282	0.0006	False
276	-108.5	500	0.1021	0.0238	0.0783	False
277	-529.3	500	0.0197	0.0255	-0.0059	False
278	-314.0	500	0.0707	0.0335	0.0372	False
279	-342.0	500	0.0665	0.0349	0.0316	False
280	-207.2	500	0.0961	0.0375	0.0586	False
281	-170.1	500	0.0867	0.0207	0.0660	False
282	-345.0	500	0.0543	0.0233	0.0310	False
283	-217.6	500	0.0756	0.0192	0.0565	False
284	-308.4	500	0.0714	0.0331	0.0383	False
285	-521.4	500	0.0491	0.0534	-0.0043	False
286	-424.2	500	0.0464	0.0313	0.0152	False
287	-262.6	500	0.0811	0.0336	0.0475	False
288	-151.2	500	0.0988	0.0291	0.0698	False
