HYPERPARAMS
version: 10	h1_size: 512	h2_size: None	npop: 50	sigma: 0.25	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	E[r]	steps	start_d	end_d	covered	info
0	-403.9	0.0	500	0.0994	0.0802	0.0192	0
1	-512.6	-403.9	500	0.0773	0.0798	-0.0025	0
2	-385.5	-458.2	500	0.0714	0.0485	0.0229	0
3	-586.2	-434.0	500	0.0217	0.0390	-0.0172	0
4	-453.9	-472.0	500	0.0947	0.0855	0.0092	0
5	-509.3	-468.4	500	0.0196	0.0214	-0.0019	0
6	-433.5	-475.2	500	0.0523	0.0390	0.0133	0
7	-291.2	-469.3	500	0.0656	0.0238	0.0418	0
8	-568.2	-447.0	500	0.0613	0.0749	-0.0136	0
9	-297.8	-460.5	500	0.0830	0.0426	0.0404	0
10	-489.0	-444.2	500	0.0353	0.0331	0.0022	0
11	-485.4	-448.3	500	0.0347	0.0317	0.0029	0
12	-325.3	-451.4	500	0.0842	0.0493	0.0349	0
13	-598.4	-441.7	500	0.0340	0.0537	-0.0197	0
14	-497.8	-452.9	500	0.1043	0.1039	0.0004	0
15	-480.0	-455.9	500	0.0468	0.0428	0.0040	0
16	-508.8	-457.4	500	0.0450	0.0468	-0.0018	0
17	-472.6	-460.4	500	0.1042	0.0987	0.0055	0
18	-401.4	-461.1	500	0.0763	0.0566	0.0197	0
19	-386.3	-457.9	500	0.0560	0.0333	0.0227	0
20	-511.0	-454.4	500	0.1108	0.1130	-0.0022	0
21	-490.9	-457.1	500	0.0444	0.0425	0.0018	0
22	-466.2	-458.6	500	0.1060	0.0992	0.0068	0
23	-395.2	-458.9	500	0.1044	0.0834	0.0210	0
24	-415.8	-456.3	500	0.0474	0.0305	0.0168	0
25	-452.4	-454.6	500	0.0789	0.0693	0.0095	0
26	-332.7	-454.6	500	0.1013	0.0678	0.0335	0
27	-523.4	-450.0	500	0.0336	0.0382	-0.0047	0
28	-359.1	-452.7	500	0.0739	0.0457	0.0282	0
29	-383.0	-449.4	500	0.1070	0.0836	0.0234	0
30	-396.9	-447.2	500	0.0468	0.0262	0.0206	0
31	-378.7	-445.6	500	0.0772	0.0530	0.0243	0
32	-420.2	-443.5	500	0.0721	0.0562	0.0160	0
33	-321.8	-442.8	500	0.1149	0.0793	0.0356	0
34	-548.2	-439.2	500	0.0171	0.0267	-0.0096	0
35	-450.9	-442.4	500	0.0626	0.0528	0.0098	0
36	-480.8	-442.6	500	0.0359	0.0321	0.0038	0
37	-438.0	-443.6	500	0.0619	0.0495	0.0124	0
38	-356.5	-443.5	500	0.1047	0.0760	0.0287	0
39	-373.2	-441.3	500	0.0993	0.0740	0.0254	0
40	-443.6	-439.6	500	0.0434	0.0321	0.0113	0
41	-524.6	-439.7	500	0.0150	0.0200	-0.0049	0
42	-416.8	-441.7	500	0.0779	0.0612	0.0166	0
43	-466.2	-441.1	500	0.0623	0.0556	0.0068	0
44	-486.1	-441.7	500	0.0459	0.0431	0.0028	0
45	-480.1	-442.7	500	0.0463	0.0423	0.0040	0
46	-435.0	-443.5	500	0.0642	0.0513	0.0130	0
47	-470.5	-443.3	500	0.0531	0.0472	0.0059	0
48	-427.9	-443.9	500	0.0908	0.0764	0.0144	0
49	-422.6	-443.5	500	0.1048	0.0893	0.0155	0
50	-406.4	-443.1	500	0.0810	0.0622	0.0187	0
51	-368.1	-442.4	500	0.0974	0.0710	0.0264	0
52	-297.1	-441.0	500	0.0818	0.0413	0.0406	0
53	-421.9	-438.2	500	0.0925	0.0769	0.0156	0
54	-349.0	-437.9	500	0.0829	0.0527	0.0302	0
55	-405.5	-436.3	500	0.1126	0.0937	0.0189	0
56	-415.1	-435.8	500	0.0779	0.0609	0.0170	0
57	-500.5	-435.4	500	0.0253	0.0254	-0.0001	0
58	-465.8	-436.5	500	0.0595	0.0527	0.0068	0
59	-488.7	-437.0	500	0.0406	0.0383	0.0023	0
60	-475.6	-437.9	500	0.0350	0.0301	0.0049	0
61	-451.9	-438.5	500	0.0807	0.0711	0.0096	0
62	-429.2	-438.7	500	0.0942	0.0800	0.0142	0
63	-473.6	-438.6	500	0.0469	0.0416	0.0053	0
64	-535.8	-439.1	500	0.0225	0.0297	-0.0072	0
65	-431.6	-440.6	500	0.0882	0.0745	0.0137	0
66	-443.0	-440.5	500	0.0862	0.0748	0.0114	0
67	-452.4	-440.5	500	0.0839	0.0744	0.0095	0
68	-419.0	-440.7	500	0.0997	0.0835	0.0162	0
69	-494.8	-440.4	500	0.0466	0.0455	0.0010	0
70	-507.2	-441.1	500	0.0466	0.0481	-0.0014	0
71	-455.1	-442.1	500	0.0687	0.0597	0.0090	0
72	-433.0	-442.3	500	0.1000	0.0866	0.0134	0
73	-426.0	-442.1	500	0.0998	0.0850	0.0148	0
74	-515.4	-441.9	500	0.0495	0.0526	-0.0031	0
75	-454.2	-442.9	500	0.0402	0.0311	0.0092	0
76	-462.4	-443.0	500	0.0363	0.0288	0.0075	0
77	-527.9	-443.3	500	0.0538	0.0593	-0.0056	0
78	-421.9	-444.4	500	0.0932	0.0776	0.0156	0
79	-522.8	-444.1	500	0.0349	0.0395	-0.0046	0
80	-494.6	-445.1	500	0.0464	0.0454	0.0011	0
81	-571.1	-445.7	500	0.0257	0.0399	-0.0142	0
82	-434.9	-447.2	500	0.0883	0.0753	0.0130	0
83	-460.8	-447.1	500	0.0641	0.0562	0.0078	0
84	-450.3	-447.2	500	0.0909	0.0810	0.0099	0
85	-471.5	-447.3	500	0.0325	0.0268	0.0057	0
86	-471.8	-447.6	500	0.0551	0.0495	0.0056	0
87	-459.7	-447.8	500	0.0614	0.0534	0.0081	0
88	-520.2	-448.0	500	0.0517	0.0557	-0.0040	0
89	-405.7	-448.8	500	0.1122	0.0933	0.0189	0
90	-384.6	-448.3	500	0.0919	0.0688	0.0231	0
91	-411.0	-447.6	500	0.1147	0.0969	0.0178	0
92	-435.0	-447.2	500	0.0853	0.0723	0.0130	0
93	-443.5	-447.1	500	0.0925	0.0812	0.0113	0
94	-424.6	-447.0	500	0.1067	0.0916	0.0151	0
95	-541.5	-446.8	500	0.0354	0.0437	-0.0083	0
96	-427.1	-447.8	500	0.0867	0.0721	0.0146	0
97	-491.0	-447.6	500	0.0234	0.0216	0.0018	0
98	-447.7	-448.0	500	0.0794	0.0690	0.0105	0
99	-459.8	-448.0	500	0.0849	0.0769	0.0080	0
100	-466.2	-448.1	500	0.0807	0.0739	0.0068	0
101	-455.0	-448.3	500	0.0316	0.0226	0.0090	0
102	-572.3	-448.4	500	0.0309	0.0454	-0.0145	0
103	-413.8	-449.6	500	0.0890	0.0718	0.0172	0
104	-405.4	-449.2	500	0.1015	0.0826	0.0189	0
105	-496.2	-448.8	500	0.0335	0.0327	0.0008	0
106	-417.8	-449.3	500	0.1057	0.0892	0.0164	0
107	-437.1	-449.0	500	0.0942	0.0817	0.0126	0
108	-365.2	-448.9	500	0.1117	0.0847	0.0270	0
109	-445.5	-448.1	500	0.0749	0.0640	0.0109	0
110	-497.0	-448.1	500	0.0516	0.0510	0.0006	0
111	-476.8	-448.5	500	0.0602	0.0556	0.0046	0
112	-438.4	-448.8	500	0.0920	0.0797	0.0123	0
113	-472.8	-448.7	500	0.0607	0.0552	0.0054	0
114	-381.0	-448.9	500	0.1195	0.0957	0.0238	0
115	-398.2	-448.3	500	0.1051	0.0848	0.0204	0
116	-479.8	-447.9	500	0.0659	0.0618	0.0040	0
117	-499.8	-448.1	500	0.0571	0.0571	0.0000	0
118	-425.0	-448.6	500	0.0978	0.0828	0.0150	0
119	-587.4	-448.4	500	0.0225	0.0400	-0.0175	0
120	-467.1	-449.5	500	0.0533	0.0467	0.0066	0
121	-418.4	-449.7	500	0.1049	0.0886	0.0163	0
122	-415.6	-449.4	500	0.1004	0.0836	0.0169	0
123	-446.8	-449.1	500	0.0693	0.0586	0.0106	0
124	-419.0	-449.1	500	0.1024	0.0862	0.0162	0
125	-462.5	-448.9	500	0.0303	0.0228	0.0075	0
126	-422.9	-449.0	500	0.0929	0.0774	0.0154	0
127	-517.6	-448.8	500	0.0238	0.0274	-0.0035	0
128	-366.7	-449.3	500	0.0903	0.0637	0.0267	0
129	-470.9	-448.7	500	0.0627	0.0569	0.0058	0
130	-426.6	-448.9	500	0.0990	0.0843	0.0147	0
131	-498.0	-448.7	500	0.0327	0.0323	0.0004	0
132	-547.7	-449.1	500	0.0365	0.0460	-0.0095	0
133	-531.0	-449.8	500	0.0191	0.0253	-0.0062	0
134	-424.3	-450.4	500	0.1025	0.0874	0.0151	0
135	-448.4	-450.2	500	0.0774	0.0671	0.0103	0
136	-522.3	-450.2	500	0.0566	0.0610	-0.0045	0
137	-408.4	-450.7	500	0.1142	0.0959	0.0183	0
138	-442.6	-450.4	500	0.0332	0.0217	0.0115	0
139	-438.4	-450.4	500	0.0194	0.0071	0.0123	0
140	-292.1	-450.3	500	0.0979	0.0563	0.0416	0
141	-561.3	-449.2	500	0.0273	0.0395	-0.0123	0
142	-355.3	-449.9	500	0.0777	0.0488	0.0289	0
143	-350.0	-449.3	500	0.0800	0.0500	0.0300	0
144	-587.7	-448.6	500	0.0159	0.0334	-0.0175	0
145	-482.3	-449.6	500	0.0349	0.0314	0.0035	0
146	-480.5	-449.8	500	0.0528	0.0489	0.0039	0
147	-417.4	-450.0	500	0.0805	0.0640	0.0165	0
148	-513.9	-449.8	500	0.0385	0.0413	-0.0028	0
149	-399.7	-450.2	500	0.0902	0.0702	0.0201	0
150	-407.7	-449.9	500	0.1095	0.0911	0.0185	0
151	-417.2	-449.6	500	0.1035	0.0870	0.0166	0
152	-426.6	-449.4	500	0.0970	0.0823	0.0147	0
153	-436.5	-449.2	500	0.0634	0.0507	0.0127	0
154	-460.1	-449.1	500	0.0830	0.0750	0.0080	0
155	-428.8	-449.2	500	0.0908	0.0765	0.0142	0
156	-515.6	-449.1	500	0.0582	0.0613	-0.0031	0
157	-402.7	-449.5	500	0.0586	0.0392	0.0195	0
158	-619.8	-449.2	500	0.0103	0.0343	-0.0240	0
159	-486.9	-450.3	500	0.0317	0.0291	0.0026	0
160	-340.1	-450.5	500	0.0783	0.0463	0.0320	0
161	-508.2	-449.8	500	0.0507	0.0523	-0.0016	0
162	-310.7	-450.2	500	0.0671	0.0293	0.0379	0
163	-471.5	-449.3	500	0.0386	0.0329	0.0057	0
164	-488.9	-449.5	500	0.0641	0.0619	0.0022	0
165	-583.6	-449.7	500	0.0198	0.0366	-0.0167	0
166	-557.8	-450.5	500	0.0310	0.0425	-0.0116	0
167	-239.1	-451.1	500	0.1075	0.0553	0.0522	0
168	-441.3	-449.9	500	0.0617	0.0500	0.0117	0
169	-451.4	-449.8	500	0.0662	0.0564	0.0097	0
170	-512.2	-449.8	500	0.0573	0.0597	-0.0024	0
171	-219.4	-450.2	500	0.0834	0.0273	0.0561	0
172	-579.0	-448.9	500	0.0337	0.0495	-0.0158	0
173	-174.7	-449.6	500	0.0808	0.0158	0.0651	0
174	-362.7	-448.0	500	0.0542	0.0267	0.0275	0
175	-486.5	-447.5	500	0.0278	0.0251	0.0027	0
176	-387.8	-447.8	500	0.0715	0.0491	0.0224	0
177	-95.1	-447.4	500	0.1014	0.0204	0.0810	0
178	-502.3	-445.5	500	0.0590	0.0595	-0.0005	0
179	-169.8	-445.8	500	0.0851	0.0191	0.0660	0
180	-533.7	-444.2	500	0.0275	0.0342	-0.0067	0
181	-314.0	-444.7	500	0.1173	0.0801	0.0372	0
182	-449.5	-444.0	500	0.0890	0.0789	0.0101	0
183	-216.2	-444.0	500	0.0746	0.0179	0.0568	0
184	-236.8	-442.8	500	0.0834	0.0308	0.0526	0
185	-501.1	-441.7	500	0.0477	0.0479	-0.0002	0
186	-494.6	-442.0	500	0.0172	0.0162	0.0011	0
