HYPERPARAMS
version: 9	h1_size: 2048	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	E[r]	steps	start_d	end_d	covered	info
99	535.9	-213.0	190	0.0981	0.0027	0.0953	1
100	-201.7	-205.6	500	0.0815	0.0218	0.0597	0
101	-254.5	-205.5	500	0.0864	0.0373	0.0491	0
102	-334.0	-206.0	500	0.0497	0.0165	0.0332	0
103	-198.5	-207.2	500	0.0737	0.0134	0.0603	0
104	-391.2	-207.2	500	0.0297	0.0080	0.0218	0
105	-323.0	-208.9	500	0.0484	0.0130	0.0354	0
106	-417.3	-210.0	500	0.0397	0.0231	0.0165	0
107	-242.0	-211.9	500	0.0880	0.0364	0.0516	0
108	443.9	-212.2	113	0.0642	0.0028	0.0615	1
109	-268.8	-206.2	500	0.0642	0.0179	0.0462	0
110	-211.9	-206.7	500	0.0771	0.0194	0.0576	0
111	-239.3	-206.8	500	0.0657	0.0136	0.0521	0
112	-369.8	-207.1	500	0.0457	0.0196	0.0260	0
113	-494.1	-208.5	500	0.0299	0.0287	0.0012	0
114	-262.1	-211.0	500	0.0874	0.0398	0.0476	0
115	497.3	-211.5	133	0.0791	0.0027	0.0764	1
116	-118.9	-205.4	500	0.1051	0.0289	0.0762	0
117	-17.1	-204.6	500	0.1165	0.0200	0.0966	0
118	-202.2	-203.0	500	0.0774	0.0178	0.0596	0
119	-343.6	-203.0	500	0.0440	0.0127	0.0313	0
120	-83.5	-204.2	500	0.0937	0.0104	0.0833	0
121	-257.9	-203.2	500	0.0634	0.0150	0.0484	0
122	531.9	-203.7	172	0.0938	0.0030	0.0908	1
123	-297.2	-197.7	500	0.0505	0.0099	0.0406	0
124	-328.7	-198.5	500	0.0677	0.0335	0.0343	0
125	355.8	-199.5	212	0.0664	0.0030	0.0634	1
126	-212.3	-195.1	500	0.0788	0.0213	0.0575	0
127	-215.3	-195.2	500	0.0878	0.0308	0.0569	0
128	513.7	-195.4	140	0.0838	0.0028	0.0810	1
129	474.8	-189.9	109	0.0698	0.0027	0.0672	1
130	-236.3	-184.8	500	0.0639	0.0111	0.0527	0
131	-477.5	-185.2	500	0.0503	0.0458	0.0045	0
132	-259.7	-187.4	500	0.0676	0.0195	0.0481	0
133	-452.5	-187.9	500	0.0151	0.0056	0.0095	0
134	-182.7	-189.9	500	0.0826	0.0191	0.0635	0
135	-390.0	-189.9	500	0.0483	0.0263	0.0220	0
136	-59.3	-191.3	500	0.1026	0.0145	0.0881	0
137	-380.1	-190.4	500	0.0325	0.0085	0.0240	0
138	-105.5	-191.7	500	0.0922	0.0133	0.0789	0
139	-492.0	-191.1	500	0.0252	0.0236	0.0016	0
140	480.9	-193.3	125	0.0742	0.0028	0.0713	1
141	-177.3	-188.5	500	0.0834	0.0189	0.0645	0
142	-337.1	-188.4	500	0.0540	0.0214	0.0326	0
143	-146.3	-189.5	500	0.0914	0.0207	0.0707	0
144	-245.2	-189.2	500	0.1193	0.0684	0.0510	0
145	-181.2	-189.5	500	0.0849	0.0211	0.0638	0
146	-396.5	-189.5	500	0.0419	0.0212	0.0207	0
147	-242.0	-190.9	500	0.0790	0.0274	0.0516	0
148	-433.5	-191.2	500	0.0191	0.0058	0.0133	0
149	-105.8	-192.9	500	0.0902	0.0113	0.0788	0
150	-251.3	-192.3	500	0.0723	0.0226	0.0497	0
151	-124.1	-192.7	500	0.0834	0.0082	0.0752	0
152	-414.5	-192.2	500	0.0733	0.0561	0.0171	0
153	-257.2	-193.7	500	0.0668	0.0182	0.0486	0
154	-281.9	-194.1	500	0.0885	0.0448	0.0436	0
155	-273.8	-194.7	500	0.0662	0.0210	0.0452	0
156	-402.0	-195.2	500	0.0503	0.0307	0.0196	0
157	-243.8	-196.5	500	0.0675	0.0163	0.0512	0
158	-397.7	-196.8	500	0.0843	0.0639	0.0205	0
159	-262.1	-198.0	500	0.0660	0.0184	0.0476	0
160	-331.8	-198.4	500	0.0484	0.0147	0.0336	0
161	-90.1	-199.3	500	0.1047	0.0227	0.0820	0
162	-270.5	-198.6	500	0.0815	0.0356	0.0459	0
163	501.9	-199.0	128	0.0790	0.0027	0.0763	1
164	-439.4	-194.8	500	0.0248	0.0126	0.0121	0
165	-337.9	-196.2	500	0.0914	0.0590	0.0324	0
166	-190.5	-197.1	500	0.0898	0.0279	0.0619	0
167	610.4	-197.1	208	0.1166	0.0028	0.1138	1
168	-288.8	-192.3	500	0.0658	0.0235	0.0422	0
169	-192.0	-192.8	500	0.0999	0.0383	0.0616	0
170	-314.9	-192.8	500	0.0647	0.0277	0.0370	0
171	-360.7	-193.5	500	0.0394	0.0115	0.0279	0
172	-162.5	-194.5	500	0.1066	0.0391	0.0675	0
173	-277.2	-194.3	500	0.0688	0.0243	0.0446	0
174	-361.2	-194.8	500	0.0435	0.0157	0.0278	0
175	-291.1	-195.7	500	0.0712	0.0294	0.0418	0
176	-415.7	-196.3	500	0.0286	0.0117	0.0169	0
