HYPERPARAMS
version: 9	h1_size: 2048	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	E[r]	steps	start_d	end_d	covered	info
0	-646.9	0.0	500	0.0307	0.0601	-0.0294	0
1	-676.8	-646.9	500	0.0551	0.0905	-0.0354	0
2	-388.8	-661.8	500	0.0681	0.0458	0.0222	0
3	-281.1	-570.8	500	0.0628	0.0191	0.0438	0
4	-255.1	-498.4	500	0.0575	0.0085	0.0490	0
5	-369.0	-449.7	500	0.0856	0.0594	0.0262	0
6	-558.8	-436.3	500	0.0386	0.0504	-0.0118	0
7	-136.4	-453.8	500	0.0912	0.0185	0.0727	0
8	-480.4	-414.1	500	0.0669	0.0630	0.0039	0
9	-465.6	-421.5	500	0.0547	0.0478	0.0069	0
10	-417.6	-425.9	500	0.0539	0.0374	0.0165	0
11	-575.1	-425.1	500	0.0244	0.0394	-0.0150	0
12	-428.0	-437.6	500	0.0977	0.0833	0.0144	0
13	-457.3	-436.9	500	0.0735	0.0650	0.0085	0
14	-612.0	-438.4	500	0.0159	0.0383	-0.0224	0
15	-479.0	-449.9	500	0.0365	0.0323	0.0042	0
16	-486.3	-451.7	500	0.0504	0.0477	0.0027	0
17	-451.8	-453.8	500	0.0420	0.0324	0.0096	0
18	-407.2	-453.7	500	0.1122	0.0936	0.0186	0
19	-430.7	-451.2	500	0.0916	0.0778	0.0139	0
20	-442.2	-450.2	500	0.0967	0.0851	0.0116	0
21	-466.3	-449.8	500	0.0229	0.0162	0.0067	0
22	-535.0	-450.6	500	0.0403	0.0473	-0.0070	0
23	-497.9	-454.2	500	0.0542	0.0538	0.0004	0
24	-496.3	-456.1	500	0.0422	0.0414	0.0007	0
25	-575.3	-457.7	500	0.0323	0.0473	-0.0151	0
26	-405.4	-462.2	500	0.0927	0.0738	0.0189	0
27	-503.0	-460.1	500	0.0514	0.0520	-0.0006	0
28	-479.2	-461.6	500	0.0568	0.0526	0.0042	0
29	-406.2	-462.2	500	0.1009	0.0822	0.0188	0
30	-471.9	-460.4	500	0.0422	0.0366	0.0056	0
31	-149.0	-460.7	500	0.0870	0.0168	0.0702	0
32	-473.7	-451.0	500	0.0605	0.0552	0.0053	0
33	-426.9	-451.7	500	0.0857	0.0711	0.0146	0
34	-438.1	-451.0	500	0.0699	0.0575	0.0124	0
35	-191.5	-450.6	500	0.0863	0.0246	0.0617	0
36	-484.9	-443.4	500	0.0808	0.0778	0.0030	0
37	-177.8	-444.5	500	0.0925	0.0280	0.0644	0
38	-552.1	-437.5	500	0.0141	0.0245	-0.0104	0
39	-353.6	-440.4	500	0.0562	0.0269	0.0293	0
40	-137.1	-438.3	500	0.1040	0.0314	0.0726	0
41	-439.2	-430.9	500	0.0779	0.0658	0.0122	0
42	-424.7	-431.1	500	0.0691	0.0541	0.0151	0
43	-539.0	-431.0	500	0.0256	0.0333	-0.0078	0
44	-423.6	-433.4	500	0.1019	0.0866	0.0153	0
45	-439.6	-433.2	500	0.0826	0.0705	0.0121	0
46	-438.1	-433.3	500	0.0835	0.0712	0.0124	0
47	430.4	-433.4	217	0.0823	0.0030	0.0793	1
48	-526.6	-415.4	500	0.0437	0.0490	-0.0053	0
49	-475.2	-417.7	500	0.0634	0.0584	0.0050	0
50	-464.0	-418.9	500	0.0297	0.0225	0.0072	0
51	-496.6	-419.7	500	0.0629	0.0622	0.0007	0
52	-468.1	-421.2	500	0.0617	0.0553	0.0064	0
53	-183.8	-422.1	500	0.0893	0.0261	0.0632	0
54	-507.9	-417.7	500	0.0385	0.0401	-0.0016	0
55	-405.3	-419.3	500	0.0799	0.0610	0.0189	0
56	-448.9	-419.1	500	0.0357	0.0255	0.0102	0
57	-435.6	-419.6	500	0.0689	0.0561	0.0129	0
58	-353.3	-419.9	500	0.0991	0.0698	0.0293	0
59	-546.2	-418.8	500	0.0284	0.0377	-0.0092	0
60	-482.2	-420.9	500	0.0458	0.0423	0.0036	0
61	-459.1	-421.9	500	0.0723	0.0642	0.0082	0
62	-390.9	-422.5	500	0.0663	0.0445	0.0218	0
63	-517.9	-422.0	500	0.0537	0.0573	-0.0036	0
64	-495.6	-423.5	500	0.0333	0.0324	0.0009	0
65	-115.9	-424.6	500	0.1048	0.0280	0.0768	0
66	-366.9	-419.9	500	0.0501	0.0235	0.0266	0
67	-487.7	-419.1	500	0.0501	0.0476	0.0025	0
68	-521.3	-420.1	500	0.0508	0.0551	-0.0043	0
69	-516.8	-421.6	500	0.0373	0.0407	-0.0034	0
70	-552.3	-423.0	500	0.0116	0.0221	-0.0105	0
71	-414.8	-424.8	500	0.0634	0.0464	0.0170	0
72	-570.8	-424.6	500	0.0297	0.0438	-0.0142	0
73	-457.2	-426.6	500	0.0939	0.0853	0.0086	0
74	-375.1	-427.1	500	0.0919	0.0669	0.0250	0
75	-194.8	-426.4	500	0.1017	0.0407	0.0610	0
76	-381.4	-423.3	500	0.0803	0.0565	0.0237	0
77	-465.1	-422.8	500	0.0609	0.0539	0.0070	0
78	-388.2	-423.3	500	0.0819	0.0596	0.0224	0
79	-435.5	-422.9	500	0.0576	0.0447	0.0129	0
80	-514.5	-423.0	500	0.0338	0.0367	-0.0029	0
81	-545.7	-424.2	500	0.0309	0.0400	-0.0091	0
