HYPERPARAMS
version: 5	h1_size: 512	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
0	-492.7	500	0.0498	0.0483	0.0015	False
1	-559.9	500	0.0500	0.0620	-0.0120	False
2	-491.4	500	0.0484	0.0466	0.0017	False
3	-380.6	500	0.1092	0.0854	0.0239	False
4	-460.8	500	0.0378	0.0300	0.0078	False
5	-370.8	500	0.1023	0.0764	0.0258	False
6	-389.8	500	0.0620	0.0400	0.0220	False
7	-469.1	500	0.0812	0.0751	0.0062	False
8	-383.8	500	0.0633	0.0401	0.0232	False
9	-571.5	500	0.0411	0.0554	-0.0143	False
10	-428.6	500	0.0492	0.0349	0.0143	False
11	-437.4	500	0.0732	0.0606	0.0125	False
12	-351.3	500	0.0965	0.0668	0.0297	False
13	-326.2	500	0.0909	0.0562	0.0348	False
14	-468.0	500	0.0249	0.0185	0.0064	False
15	-386.7	500	0.0911	0.0684	0.0227	False
16	-369.7	500	0.1007	0.0746	0.0261	False
17	-277.8	500	0.0874	0.0430	0.0444	False
18	-348.0	500	0.1135	0.0831	0.0304	False
19	-485.9	500	0.0779	0.0750	0.0028	False
20	-565.7	500	0.0413	0.0545	-0.0131	False
21	-422.9	500	0.0728	0.0574	0.0154	False
22	-377.8	500	0.0774	0.0529	0.0244	False
23	-479.1	500	0.0297	0.0255	0.0042	False
24	-223.5	500	0.0801	0.0248	0.0553	False
25	-273.6	500	0.0969	0.0516	0.0453	False
26	-456.4	500	0.0379	0.0292	0.0087	False
27	-108.6	500	0.0979	0.0196	0.0783	False
28	-214.6	500	0.1097	0.0526	0.0571	False
29	-340.9	500	0.0693	0.0375	0.0318	False
30	-400.7	500	0.0756	0.0557	0.0199	False
31	-359.7	500	0.0812	0.0531	0.0281	False
32	-512.2	500	0.0437	0.0461	-0.0024	False
33	-482.0	500	0.0618	0.0582	0.0036	False
34	-447.8	500	0.0452	0.0348	0.0104	False
35	-380.0	500	0.0627	0.0387	0.0240	False
36	-399.2	500	0.0603	0.0401	0.0202	False
37	-293.2	500	0.0998	0.0585	0.0414	False
38	-382.2	500	0.0881	0.0646	0.0236	False
39	-285.4	500	0.0576	0.0147	0.0429	False
40	-611.5	500	0.0304	0.0527	-0.0223	False
41	-111.4	500	0.0988	0.0211	0.0777	False
42	-401.8	500	0.1069	0.0872	0.0196	False
43	-283.0	500	0.0588	0.0154	0.0434	False
44	-150.8	500	0.0910	0.0211	0.0698	False
45	-40.3	500	0.1108	0.0189	0.0919	False
46	-279.3	500	0.0923	0.0482	0.0441	False
47	-627.3	500	0.0188	0.0443	-0.0255	False
48	-222.7	500	0.0776	0.0221	0.0555	False
49	-431.7	500	0.0951	0.0814	0.0137	False
50	-423.0	500	0.0553	0.0399	0.0154	False
51	-366.3	500	0.0862	0.0595	0.0267	False
52	-269.0	500	0.0709	0.0247	0.0462	False
53	-12.2	500	0.1088	0.0112	0.0976	False
54	-418.1	500	0.1067	0.0903	0.0164	False
55	-138.0	500	0.0957	0.0233	0.0724	False
56	-16.1	500	0.1078	0.0110	0.0968	False
57	-349.1	500	0.0618	0.0317	0.0302	False
58	-478.0	500	0.0731	0.0687	0.0044	False
59	-462.0	500	0.0358	0.0282	0.0076	False
60	-460.8	500	0.0630	0.0551	0.0078	False
61	-449.3	500	0.0819	0.0718	0.0101	False
62	-413.3	500	0.1144	0.0970	0.0173	False
63	-318.4	500	0.0682	0.0318	0.0363	False
64	-148.7	500	0.0944	0.0241	0.0703	False
65	-531.5	500	0.0220	0.0283	-0.0063	False
66	-501.9	500	0.0339	0.0343	-0.0004	False
67	-451.5	500	0.0811	0.0714	0.0097	False
68	-540.6	500	0.0276	0.0358	-0.0081	False
69	-429.0	500	0.0918	0.0776	0.0142	False
70	-460.1	500	0.0786	0.0706	0.0080	False
71	-459.6	500	0.0271	0.0190	0.0081	False
72	-456.6	500	0.0739	0.0652	0.0087	False
73	-162.9	500	0.0927	0.0253	0.0674	False
74	-431.2	500	0.1032	0.0895	0.0138	False
75	-444.4	500	0.0357	0.0246	0.0111	False
76	-505.0	500	0.0349	0.0359	-0.0010	False
77	-523.2	500	0.0441	0.0488	-0.0046	False
78	-513.5	500	0.0528	0.0555	-0.0027	False
79	-240.6	500	0.0815	0.0296	0.0519	False
80	-451.5	500	0.0493	0.0396	0.0097	False
81	-16.4	500	0.1107	0.0139	0.0967	False
82	-345.0	500	0.0896	0.0586	0.0310	False
83	-171.5	500	0.0952	0.0295	0.0657	False
84	-516.8	500	0.0484	0.0517	-0.0034	False
85	-426.2	500	0.0493	0.0346	0.0148	False
86	-526.1	500	0.0279	0.0331	-0.0052	False
87	-378.6	500	0.0498	0.0255	0.0243	False
88	-80.4	500	0.0943	0.0103	0.0839	False
89	-350.6	500	0.0608	0.0309	0.0299	False
90	-545.5	500	0.0427	0.0518	-0.0091	False
91	-443.3	500	0.0902	0.0789	0.0113	False
92	-349.3	500	0.0585	0.0284	0.0301	False
93	-422.2	500	0.0912	0.0757	0.0156	False
94	-607.8	500	0.0198	0.0413	-0.0216	False
95	-161.2	500	0.0815	0.0138	0.0678	False
96	-179.7	500	0.0734	0.0093	0.0641	False
97	-280.0	500	0.1070	0.0630	0.0440	False
98	-50.9	500	0.0971	0.0073	0.0898	False
99	-358.8	500	0.0362	0.0079	0.0282	False
100	-490.1	500	0.0438	0.0418	0.0020	False
101	-456.2	500	0.0522	0.0435	0.0088	False
102	-441.0	500	0.0887	0.0769	0.0118	False
103	-438.6	500	0.0872	0.0749	0.0123	False
104	-465.7	500	0.0768	0.0700	0.0069	False
105	-538.9	500	0.0151	0.0229	-0.0078	False
106	-605.7	500	0.0086	0.0297	-0.0211	False
107	-423.8	500	0.0857	0.0704	0.0152	False
108	-348.5	500	0.0592	0.0289	0.0303	False
109	-245.2	500	0.0968	0.0459	0.0510	False
110	-486.6	500	0.0696	0.0669	0.0027	False
111	-387.3	500	0.0553	0.0328	0.0225	False
112	-487.1	500	0.0526	0.0500	0.0026	False
113	-448.4	500	0.0826	0.0722	0.0103	False
