HYPERPARAMS
version: 3	h1_size: 512	h2_size: 512	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
0	6.0	500	0.0911	0.0899	0.0012	False
1	-60.9	500	0.0586	0.0708	-0.0122	False
2	-64.5	500	0.0803	0.0932	-0.0129	False
3	-122.5	500	0.0521	0.0766	-0.0245	False
4	9.3	500	0.0408	0.0390	0.0019	False
5	18.2	500	0.0570	0.0533	0.0036	False
6	-214.5	500	0.0235	0.0664	-0.0429	False
7	203.5	500	0.0925	0.0518	0.0407	False
8	-226.9	500	0.0314	0.0768	-0.0454	False
9	-24.4	500	0.0767	0.0816	-0.0049	False
10	67.3	500	0.0517	0.0382	0.0135	False
11	67.6	500	0.0987	0.0852	0.0135	False
12	33.1	500	0.0776	0.0709	0.0066	False
13	100.8	500	0.1152	0.0950	0.0202	False
14	-47.7	500	0.0437	0.0533	-0.0095	False
15	47.4	500	0.0852	0.0757	0.0095	False
16	55.8	500	0.0811	0.0700	0.0112	False
17	64.1	500	0.0845	0.0716	0.0128	False
18	-27.8	500	0.0229	0.0285	-0.0056	False
19	44.0	500	0.0748	0.0660	0.0088	False
20	36.9	500	0.0677	0.0603	0.0074	False
21	24.1	500	0.0725	0.0677	0.0048	False
22	-10.4	500	0.0499	0.0520	-0.0021	False
23	-36.6	500	0.0463	0.0536	-0.0073	False
24	78.6	500	0.1082	0.0925	0.0157	False
25	90.7	500	0.1084	0.0903	0.0181	False
26	68.1	500	0.0916	0.0780	0.0136	False
27	67.9	500	0.0878	0.0742	0.0136	False
28	66.6	500	0.0857	0.0724	0.0133	False
29	39.4	500	0.0442	0.0363	0.0079	False
30	28.8	500	0.0716	0.0658	0.0058	False
31	18.4	500	0.0408	0.0371	0.0037	False
32	43.2	500	0.0349	0.0263	0.0086	False
33	-84.8	500	0.0318	0.0488	-0.0170	False
34	61.4	500	0.0774	0.0651	0.0123	False
35	52.4	500	0.0794	0.0689	0.0105	False
36	39.3	500	0.0265	0.0186	0.0079	False
37	65.6	500	0.0872	0.0740	0.0131	False
38	45.1	500	0.0837	0.0747	0.0090	False
39	50.2	500	0.0816	0.0716	0.0100	False
40	29.0	500	0.0718	0.0660	0.0058	False
41	52.5	500	0.0918	0.0813	0.0105	False
42	42.0	500	0.0804	0.0720	0.0084	False
43	46.7	500	0.0792	0.0699	0.0093	False
44	51.6	500	0.0822	0.0719	0.0103	False
45	64.1	500	0.0953	0.0825	0.0128	False
46	-7.6	500	0.0234	0.0249	-0.0015	False
47	45.7	500	0.0831	0.0739	0.0091	False
